CATEGORIE;DATE;QUART;PDQ;LAT;LONG
Introduction;2018-03-29;soir;42;45.5851970768058;-73.6068166938801
Vol dans / sur véhicule à moteur;2018-03-29;jour;42;45.5863923491875;-73.611117220957
Méfait;2018-03-29;jour;44;45.5489733443648;-73.5915674565396
Vol dans / sur véhicule à moteur;2018-03-29;jour;44;45.5549079956758;-73.5912032064041
Vol dans / sur véhicule à moteur;2018-03-29;jour;44;45.545615754786;-73.5800876412149
Vol de véhicule à moteur;2018-03-29;nuit;44;45.5609271480878;-73.5859600374287
Vol de véhicule à moteur;2018-03-29;jour;44;45.5559549908292;-73.5636051982461
Méfait;2018-03-29;jour;45;45.6169342164969;-73.5939804124454
Méfait;2018-03-29;jour;45;45.6342480889508;-73.5857366523638
Méfait;2018-03-29;jour;45;45.6398177989269;-73.5800547103382
Vol dans / sur véhicule à moteur;2018-03-29;jour;46;45.6217444480013;-73.5866466571117
Vol dans / sur véhicule à moteur;2018-03-29;soir;46;45.6059091546152;-73.5641544902676
Vol de véhicule à moteur;2018-03-29;jour;46;45.5987527158561;-73.5532722055369
Méfait;2018-03-29;soir;48;45.5882767746823;-73.5575577256984
Introduction;2018-03-29;jour;49;45.6380095914874;-73.4937627673995
Méfait;2018-03-29;jour;50;45.5153162602069;-73.5611000342012
Méfait;2018-03-29;jour;50;45.4467206517811;-73.6024254591906
Vol de véhicule à moteur;2018-03-28;nuit;3;45.4593894824953;-73.881748240935
Vol dans / sur véhicule à moteur;2018-03-28;jour;4;45.4676342881714;-73.8506580193613
Méfait;2018-03-28;soir;5;45.4542508230156;-73.7359877037905
Méfait;2018-03-28;soir;5;1;1
Méfait;2018-03-28;jour;5;45.4562394884345;-73.7472848607821
Vol dans / sur véhicule à moteur;2018-03-28;soir;5;45.4437936711129;-73.7408658383188
Vol de véhicule à moteur;2018-03-28;jour;5;45.4604937913911;-73.7251949502819
Vols qualifiés;2018-03-28;soir;5;45.4625627564722;-73.8292167425863
Méfait;2018-03-28;soir;7;45.525777541104;-73.6792040689271
Vol dans / sur véhicule à moteur;2018-03-28;jour;7;45.48715388056;-73.7171298080997
Vol dans / sur véhicule à moteur;2018-03-28;jour;7;45.498819333768;-73.7379845188064
Vol dans / sur véhicule à moteur;2018-03-28;jour;7;1;1
Vol de véhicule à moteur;2018-03-28;soir;7;45.4972460801594;-73.7042507326908
Méfait;2018-03-28;jour;8;45.442645773467;-73.6875454194309
Introduction;2018-03-28;jour;9;45.4890232755901;-73.6511475717208
Méfait;2018-03-28;jour;12;45.4810410853167;-73.5934808121164
Introduction;2018-03-28;jour;15;45.4830158146504;-73.576449278089
Méfait;2018-03-28;jour;15;45.4631570807307;-73.5970671037555
Vol dans / sur véhicule à moteur;2018-03-28;jour;16;45.4487803270875;-73.5769549646998
Introduction;2018-03-28;soir;20;45.5033822921352;-73.5684356913166
Vol dans / sur véhicule à moteur;2018-03-28;soir;20;1;1
Vol dans / sur véhicule à moteur;2018-03-28;jour;20;45.4941925109642;-73.575914719533
Vol dans / sur véhicule à moteur;2018-03-28;soir;20;1;1
Vol dans / sur véhicule à moteur;2018-03-28;jour;20;45.498053635593;-73.5774807062329
Vol dans / sur véhicule à moteur;2018-03-28;jour;20;45.500011818806;-73.5729192723381
Vol dans / sur véhicule à moteur;2018-03-28;jour;20;45.497441063919;-73.5568028259788
Méfait;2018-03-28;soir;21;45.5077464750186;-73.5626485209305
Méfait;2018-03-28;jour;21;45.5150207923933;-73.5661961912092
Méfait;2018-03-28;jour;23;45.5547793126256;-73.5468521644955
Méfait;2018-03-28;soir;23;45.5431042875012;-73.5413955614135
Vol dans / sur véhicule à moteur;2018-03-28;soir;23;45.5582936121359;-73.5487759745289
Vols qualifiés;2018-03-28;jour;23;45.5484966173938;-73.5425274839338
Vol dans / sur véhicule à moteur;2018-03-28;jour;24;45.5226096454499;-73.6130547403237
Méfait;2018-03-28;jour;26;45.5054732070729;-73.6212877471566
Méfait;2018-03-28;soir;27;45.5609952562458;-73.6651532521257
Vol dans / sur véhicule à moteur;2018-03-28;jour;27;45.5512433711736;-73.6397970090325
Vol de véhicule à moteur;2018-03-28;nuit;27;45.5715535807688;-73.6401519701413
Introduction;2018-03-28;jour;30;45.5811352129238;-73.6221964037914
Introduction;2018-03-28;jour;30;45.5755487795838;-73.63561254541
Introduction;2018-03-28;soir;30;45.5681655143167;-73.6305910420838
Introduction;2018-03-28;jour;31;45.5436596247395;-73.6358063881097
